,name,github_id,category,group,group_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,fastui,pydantic/fastui,miscellaneous,True,pydantic/fastui,https://github.com/pydantic/FastUI,https://github.com/pydantic/FastUI,MIT,2023-09-18 08:12:00,2025-10-28 08:51:50,2025-10-28 08:51:24,219,6.0,338,69,180,123,115,8920,2025-10-28 08:57:08,0.9.0,9.0,Build better UIs faster.,243.0,243.0,34,25,True,1
1,hyperview,Instawork/hyperview,miscellaneous,,,https://github.com/Instawork/hyperview,https://github.com/Instawork/hyperview,MIT,2018-07-25 18:02:29,2025-10-27 12:47:25,2025-10-27 12:44:53,1408,30.0,79,42,1071,47,112,1617,2025-10-27 12:45:41,0.102.1,17.0,Server-driven mobile apps with React Native.,23.0,23.0,55,23,True,3
2,fastui-tutorials,hasansezertasan/fastui-tutorials,miscellaneous,,pydantic/fastui,https://github.com/hasansezertasan/fastui-tutorials,https://github.com/hasansezertasan/fastui-tutorials,MIT,2024-01-27 16:51:05,2025-07-28 17:38:39,2024-05-29 04:17:27,53,,2,3,25,4,6,29,,,,Exploring FastUI features and capabilities with beginner-friendly examples.,,,2,6,False,3
