,name,github_id,category,group,group_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,recent_commit_count,projectrank_placing
0,fastui,pydantic/fastui,miscellaneous,True,pydantic/fastui,https://github.com/pydantic/FastUI,https://github.com/pydantic/FastUI,MIT,2023-09-18 08:12:00,2026-07-10 11:52:07,2026-07-10 11:52:05,268,342,69,233,121,120,8999,2025-10-28 08:57:08,0.9.0,9.0,Build better UIs faster.,2.0,2.0,35,21,True,34,3
1,hyperview,Instawork/hyperview,miscellaneous,,,https://github.com/Instawork/hyperview,https://github.com/Instawork/hyperview,MIT,2018-07-25 18:02:29,2026-07-16 15:56:30,2026-07-16 15:35:24,1447,85,40,1113,48,115,1693,2026-06-27 12:43:43,0.108.1,24.0,Server-driven mobile apps with React Native.,23.0,23.0,56,23,True,13,1
2,fastui-tutorials,hasansezertasan/fastui-tutorials,miscellaneous,,pydantic/fastui,https://github.com/hasansezertasan/fastui-tutorials,https://github.com/hasansezertasan/fastui-tutorials,MIT,2024-01-27 16:51:05,2026-07-10 11:52:07,2026-07-10 11:52:05,102,2,2,75,1,10,29,,,,Exploring FastUI features and capabilities with beginner-friendly examples.,,,3,8,False,34,3
