,name,github_id,category,group,group_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,recent_commit_count,projectrank_placing,trending
0,fastui,pydantic/fastui,miscellaneous,True,pydantic/fastui,https://github.com/pydantic/FastUI,https://github.com/pydantic/FastUI,MIT,2023-09-18 08:12:00,2026-06-26 08:13:00,2026-06-26 08:12:59,264,342,69,229,121,120,9000,2025-10-28 08:57:08,0.9.0,9.0,Build better UIs faster.,2.0,2.0,35,21,True,35,3,
1,hyperview,Instawork/hyperview,miscellaneous,,,https://github.com/Instawork/hyperview,https://github.com/Instawork/hyperview,MIT,2018-07-25 18:02:29,2026-06-27 12:45:27,2026-06-27 12:43:22,1444,85,42,1108,48,115,1691,2026-06-27 12:43:43,0.108.1,24.0,Server-driven mobile apps with React Native.,23.0,23.0,56,23,True,12,1,1.0
2,fastui-tutorials,hasansezertasan/fastui-tutorials,miscellaneous,,pydantic/fastui,https://github.com/hasansezertasan/fastui-tutorials,https://github.com/hasansezertasan/fastui-tutorials,MIT,2024-01-27 16:51:05,2026-06-26 08:13:00,2026-06-26 08:12:59,98,2,2,71,1,10,29,,,,Exploring FastUI features and capabilities with beginner-friendly examples.,,,3,8,False,35,3,
