,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition
0,fastui,pydantic/fastui,miscellaneous,https://github.com/pydantic/FastUI,https://github.com/pydantic/FastUI,MIT,2023-09-18 08:12:00,2025-10-01 04:05:28,2025-09-03 08:41:15,164,4,336,67,153,120,108,8881,2025-09-03 08:45:31,0.8.0,8,Build better UIs faster.,243,243,32,25,True,1,True
1,hyperview,Instawork/hyperview,miscellaneous,https://github.com/Instawork/hyperview,https://github.com/Instawork/hyperview,MIT,2018-07-25 18:02:29,2025-10-02 16:46:26,2025-09-30 19:47:18,1393,28,79,44,1067,47,112,1613,2025-09-10 12:58:34,0.99.0,14,Server-driven mobile apps with React Native.,23,23,55,23,True,3,True
